Size,HT50_Present,HT50_NotPresent,HT95_Present,HT95_NotPresent,Seq_Present,Seq_NotPresent,Bin_Present,Bin_NotPresent
100000,0.000000043,0.000000042,0.000001158,0.000001074,0.000022640,0.000023578,0.000000315,0.000000331
200000,0.000000033,0.000000042,0.000072035,0.000073125,0.000045396,0.000044553,0.000000329,0.000000348
300000,0.000000034,0.000000036,0.000300239,0.000281892,0.000067564,0.000067999,0.000000343,0.000000365
400000,0.000000031,0.000000040,0.000491807,0.000455916,0.000090591,0.000092943,0.000000355,0.000000415
500000,0.000000026,0.000000035,0.000281396,0.000272638,0.000111413,0.000111426,0.000000357,0.000000366
600000,0.000000028,0.000000035,0.000601779,0.000612769,0.000134700,0.000133811,0.000000374,0.000000377
700000,0.000000034,0.000000041,0.001889876,0.001897454,0.000157506,0.000157095,0.000000365,0.000000372
800000,0.000000042,0.000000052,0.001987804,0.001944042,0.000182787,0.000183767,0.000000368,0.000000374
900000,0.000000059,0.000000061,0.000930352,0.000984412,0.000208642,0.000209764,0.000000556,0.000000470
1000000,0.000000012,0.000000014,0.001504622,0.000000014,0.000234178,0.000235763,0.000000468,0.000000197
