Size,Algorithm,Time(milliseconds)
10000,BubbleSort,196.7301
10000,InsertionSort,196.7301
20000,BubbleSort,848.3992
20000,InsertionSort,848.3992
30000,BubbleSort,2035.6072
30000,InsertionSort,2035.6072
40000,BubbleSort,3737.7562
40000,InsertionSort,3737.7562
50000,BubbleSort,5950.3715
50000,InsertionSort,5950.3715
60000,BubbleSort,8723.0202
60000,InsertionSort,8723.0202
70000,BubbleSort,12085.7060
70000,InsertionSort,12085.7060
80000,BubbleSort,15891.5970
80000,InsertionSort,15891.5970
90000,BubbleSort,20305.5861
90000,InsertionSort,20305.5861
100000,BubbleSort,25259.7030
100000,InsertionSort,25259.7030
