Algorithm,DataType,Size,Time(milliseconds)
BubbleSort,Integer,10000,190.9632
BubbleSort,Fraction,10000,275.2196
BubbleSort,Integer,20000,831.8503
BubbleSort,Fraction,20000,1168.7729
BubbleSort,Integer,30000,1984.9770
BubbleSort,Fraction,30000,2814.6285
BubbleSort,Integer,40000,3681.1330
BubbleSort,Fraction,40000,5106.1785
BubbleSort,Integer,50000,5812.3762
BubbleSort,Fraction,50000,8211.2833
BubbleSort,Integer,60000,8664.9604
BubbleSort,Fraction,60000,11846.8059
BubbleSort,Integer,70000,12013.1230
BubbleSort,Fraction,70000,16318.6902
BubbleSort,Integer,80000,15984.8091
BubbleSort,Fraction,80000,21675.7020
BubbleSort,Integer,90000,20444.8065
BubbleSort,Fraction,90000,27736.8015
BubbleSort,Integer,100000,25555.7995
BubbleSort,Fraction,100000,34573.2539
InsertionSort,Integer,10000,66.8453
InsertionSort,Fraction,10000,87.6118
InsertionSort,Integer,20000,271.5715
InsertionSort,Fraction,20000,351.3707
InsertionSort,Integer,30000,604.3070
InsertionSort,Fraction,30000,791.6747
InsertionSort,Integer,40000,1091.0407
InsertionSort,Fraction,40000,1420.1338
InsertionSort,Integer,50000,1708.4096
InsertionSort,Fraction,50000,2212.5770
InsertionSort,Integer,60000,2465.5756
InsertionSort,Fraction,60000,3181.0203
InsertionSort,Integer,70000,3363.5345
InsertionSort,Fraction,70000,4300.9870
InsertionSort,Integer,80000,4391.1900
InsertionSort,Fraction,80000,5632.8813
InsertionSort,Integer,90000,5531.6145
InsertionSort,Fraction,90000,7189.2637
InsertionSort,Integer,100000,6865.9778
InsertionSort,Fraction,100000,8839.1029
SelectionSort,Integer,10000,107.6601
SelectionSort,Fraction,10000,150.0223
SelectionSort,Integer,20000,447.1236
SelectionSort,Fraction,20000,602.4109
SelectionSort,Integer,30000,1026.9558
SelectionSort,Fraction,30000,1361.8791
SelectionSort,Integer,40000,1867.7738
SelectionSort,Fraction,40000,2443.0531
SelectionSort,Integer,50000,2802.9320
SelectionSort,Fraction,50000,3792.4413
SelectionSort,Integer,60000,4025.4545
SelectionSort,Fraction,60000,5467.4620
SelectionSort,Integer,70000,5454.0337
SelectionSort,Fraction,70000,7438.0167
SelectionSort,Integer,80000,7081.5420
SelectionSort,Fraction,80000,9697.0509
SelectionSort,Integer,90000,9060.0824
SelectionSort,Fraction,90000,12367.7970
SelectionSort,Integer,100000,12196.8784
SelectionSort,Fraction,100000,15369.8117
ShellSort,Integer,10000,1.8090
ShellSort,Fraction,10000,2.2960
ShellSort,Integer,20000,3.9915
ShellSort,Fraction,20000,4.7779
ShellSort,Integer,30000,6.1752
ShellSort,Fraction,30000,7.4687
ShellSort,Integer,40000,8.8518
ShellSort,Fraction,40000,10.9161
ShellSort,Integer,50000,11.4049
ShellSort,Fraction,50000,13.5920
ShellSort,Integer,60000,13.8549
ShellSort,Fraction,60000,16.8444
ShellSort,Integer,70000,16.3793
ShellSort,Fraction,70000,20.0559
ShellSort,Integer,80000,20.0300
ShellSort,Fraction,80000,23.5895
ShellSort,Integer,90000,23.3693
ShellSort,Fraction,90000,27.0360
ShellSort,Integer,100000,24.8039
ShellSort,Fraction,100000,30.3215
